Serial #s, Consumption Current (mA), Lo Gate Trig Freq,Hi Gate Trig Freq, DSAT Hi, DSAT Lo, 2L Turn Off Hi, 2L Turn Off Lo, Hi DeadTime,Lo DeadTime, Result, DateTime
ZJ24030130010104RH6,117.05,5.00012,4.99964,PASSED,PASSED,FAILED,FAILED,361.6,380, --- , 5.00008,4.99979,PASSED,PASSED,PASSED,PASSED,376.8,369.6,PASS,6/21/2024 1:49:53 PM
ZJ24030130010081RH6,114.813,5.00024,5.00046,PASSED,PASSED,PASSED,PASSED,377.6,430.4,PASS,6/21/2024 1:51:00 PM
ZJ24030130010047RH6,115.696,4.99952,4.9995,PASSED,PASSED,PASSED,PASSED,369.6,428.8,PASS,6/21/2024 1:52:00 PM
ZJ24030130010103RH6,117.435,4.99964,5.00003,PASSED,PASSED,PASSED,PASSED,385.6,396.8,PASS,6/21/2024 1:53:03 PM
ZJ24030130010067RH6,115.389,5.00048,5.00009,PASSED,PASSED,PASSED,PASSED,410.4,421.6,PASS,6/21/2024 1:54:16 PM
ZJ24030130010021RH6,118.18,5.00018,5.00055,PASSED,PASSED,PASSED,PASSED,414.4,413.6,PASS,6/21/2024 1:55:24 PM
ZJ24030130010095RH6,114.522,5.0003,4.99969,PASSED,PASSED,PASSED,PASSED,378.4,368.4,PASS,6/21/2024 2:13:07 PM
ZJ24030130010056RH6,116.046,5.00056,5.0004,PASSED,PASSED,PASSED,PASSED,401.2,197.6, --- , 4.99988,4.99997,PASSED,PASSED,PASSED,PASSED,412,227.2,FAIL,6/21/2024 2:15:40 PM
ZJ24030130010096RH6,116.928,4.99996,4.99941,PASSED,PASSED,PASSED,PASSED,336.8,320, --- , 4.99972,5.00008,PASSED,PASSED,PASSED,PASSED,297.6,320,FAIL,6/21/2024 2:17:35 PM
ZJ24030130010048RH6,118.134,4.99998,4.99987,PASSED,PASSED,PASSED,PASSED,394.4,218.8, --- , 5.00024,5.00011,PASSED,PASSED,PASSED,PASSED,404.4,240.4,FAIL,6/21/2024 2:19:29 PM
ZJ24030130010046RH6,117.401,5.00012,4.9999,PASSED,PASSED,PASSED,PASSED,396,228.4, --- , 5.00038,4.99948,PASSED,PASSED,PASSED,PASSED,396,222.8,FAIL,6/21/2024 2:21:18 PM
ZJ24030130010027RH6,120.7,4.9999,4.99953,PASSED,PASSED,PASSED,PASSED,153.6,412.4, --- , 5.00006,4.99929,PASSED,PASSED,PASSED,PASSED,172.8,437.6,FAIL,6/21/2024 2:22:58 PM
ZJ24030130010022RH6,115.914,4.99928,5.0002,PASSED,PASSED,PASSED,PASSED,445.6,314.4, --- , 5.00024,4.99977,PASSED,PASSED,PASSED,PASSED,430.4,274.8,FAIL,6/21/2024 2:24:44 PM
